base_year,datetime,economic,economic_index,pid,year_month
1996,2002-06-01,leading,112.4,1862.0,200206
1996,2002-06-01,coincident,116.2,1862.0,200206
1996,2002-06-01,lagging,100.6,1862.0,200206
1996,2002-07-01,leading,111.7,1864.0,200207
1996,2002-07-01,coincident,115.0,1864.0,200207
1996,2002-07-01,lagging,100.7,1864.0,200207
1996,2002-08-01,coincident,115.0,1959.0,200208
1996,2002-08-01,lagging,100.7,1959.0,200208
1996,2002-08-01,leading,111.8,1959.0,200208
1996,2002-09-01,lagging,100.0,1988.0,200209
1996,2002-09-01,coincident,115.1,1988.0,200209
1996,2002-09-01,leading,111.6,1988.0,200209
1996,2002-10-01,leading,111.4,2016.0,200210
1996,2002-10-01,coincident,115.1,2016.0,200210
1996,2002-10-01,lagging,100.0,2016.0,200210
1996,2002-11-01,coincident,115.0,2036.0,200211
1996,2002-11-01,leading,112.3,2036.0,200211
1996,2002-11-01,lagging,99.7,2036.0,200211
1996,2002-12-01,leading,111.3,2061.0,200212
1996,2002-12-01,coincident,115.2,2061.0,200212
1996,2002-12-01,lagging,99.4,2061.0,200212
1996,2003-01-01,lagging,99.2,2084.0,200301
1996,2003-01-01,coincident,115.5,2084.0,200301
1996,2003-01-01,leading,111.2,2084.0,200301
1996,2003-02-01,leading,111.1,2105.0,200302
1996,2003-02-01,coincident,115.5,2105.0,200302
1996,2003-02-01,lagging,99.3,2105.0,200302
1996,2003-03-01,leading,110.6,2127.0,200303
1996,2003-03-01,lagging,99.2,2127.0,200303
1996,2003-03-01,coincident,115.3,2127.0,200303
1996,2003-04-01,leading,110.6,2151.0,200304
1996,2003-04-01,coincident,114.9,2151.0,200304
1996,2003-04-01,lagging,98.9,2151.0,200304
1996,2003-05-01,leading,111.6,2176.0,200305
1996,2003-05-01,coincident,115.2,2176.0,200305
1996,2003-05-01,lagging,98.8,2176.0,200305
1996,2003-06-01,coincident,115.2,2198.0,200306
1996,2003-06-01,leading,111.8,2198.0,200306
1996,2003-06-01,lagging,98.4,2198.0,200306
1996,2003-07-01,lagging,98.2,2213.0,200307
1996,2003-07-01,leading,112.5,2213.0,200307
1996,2003-07-01,coincident,115.2,2213.0,200307
1996,2003-08-01,leading,113.3,2225.0,200308
1996,2003-08-01,lagging,98.1,2225.0,200308
1996,2003-08-01,coincident,115.4,2225.0,200308
1996,2003-09-01,leading,113.0,2249.0,200309
1996,2003-09-01,coincident,115.7,2249.0,200309
1996,2003-09-01,lagging,97.4,2249.0,200309
1996,2003-10-01,lagging,97.5,2273.0,200310
1996,2003-10-01,coincident,116.0,2273.0,200310
1996,2003-10-01,leading,113.6,2273.0,200310
1996,2003-11-01,coincident,116.3,2294.0,200311
1996,2003-11-01,leading,114.2,2294.0,200311
1996,2003-11-01,lagging,97.0,2294.0,200311
1996,2003-12-01,coincident,115.7,2313.0,200312
1996,2003-12-01,lagging,98.9,2313.0,200312
1996,2003-12-01,leading,114.3,2313.0,200312
1996,2004-01-01,leading,115.0,2332.0,200401
1996,2004-01-01,lagging,98.2,2332.0,200401
1996,2004-01-01,coincident,115.8,2332.0,200401
1996,2004-02-01,leading,115.1,2353.0,200402
1996,2004-02-01,lagging,98.2,2353.0,200402
1996,2004-02-01,coincident,116.1,2353.0,200402
1996,2004-03-01,lagging,97.9,2376.0,200403
1996,2004-03-01,coincident,116.4,2376.0,200403
1996,2004-03-01,leading,115.3,2376.0,200403
1996,2004-04-01,coincident,116.8,2398.0,200404
1996,2004-04-01,lagging,98.0,2398.0,200404
1996,2004-04-01,leading,115.9,2398.0,200404
1996,2004-05-01,lagging,97.9,2415.0,200405
1996,2004-05-01,leading,116.5,2415.0,200405
1996,2004-05-01,coincident,117.6,2415.0,200405
1996,2004-06-01,lagging,97.8,2441.0,200406
1996,2004-06-01,coincident,117.6,2441.0,200406
1996,2004-06-01,leading,116.2,2441.0,200406
1996,2004-07-01,coincident,117.5,2460.0,200407
1996,2004-07-01,lagging,98.3,2460.0,200407
1996,2004-07-01,leading,116.0,2460.0,200407
1996,2004-08-01,leading,115.7,2478.0,200408
1996,2004-08-01,lagging,98.2,2478.0,200408
1996,2004-08-01,coincident,117.8,2478.0,200408
1996,2004-09-01,leading,115.6,2503.0,200409
1996,2004-09-01,coincident,118.0,2503.0,200409
1996,2004-09-01,lagging,98.1,2503.0,200409
1996,2004-10-01,lagging,98.5,2521.0,200410
1996,2004-10-01,coincident,118.3,2521.0,200410
1996,2004-10-01,leading,115.1,2521.0,200410
1996,2004-11-01,leading,115.2,2539.0,200411
1996,2004-11-01,coincident,118.5,2539.0,200411
1996,2004-11-01,lagging,98.3,2539.0,200411
1996,2004-12-01,coincident,118.6,2561.0,200412
1996,2004-12-01,lagging,98.9,2561.0,200412
1996,2004-12-01,leading,115.4,2561.0,200412
1996,2005-01-01,lagging,98.6,2574.0,200501
1996,2005-01-01,leading,115.6,2574.0,200501
1996,2005-01-01,coincident,119.6,2574.0,200501
1996,2005-02-01,coincident,119.6,2593.0,200502
1996,2005-02-01,lagging,99.6,2593.0,200502
1996,2005-02-01,leading,115.6,2593.0,200502
1996,2005-03-01,lagging,99.4,2621.0,200503
1996,2005-03-01,coincident,119.5,2621.0,200503
1996,2005-03-01,leading,115.1,2621.0,200503
1996,2005-04-01,coincident,119.6,2634.0,200504
1996,2005-04-01,lagging,99.7,2634.0,200504
1996,2005-04-01,leading,114.5,2634.0,200504
1996,2005-05-01,lagging,99.8,2657.0,200505
1996,2005-05-01,leading,114.1,2657.0,200505
1996,2005-05-01,coincident,119.7,2657.0,200505
1996,2005-06-01,lagging,119.7,2680.0,200506
1996,2005-06-01,coincident,120.5,2680.0,200506
1996,2005-06-01,leading,137.7,2680.0,200506
1996,2005-07-01,leading,138.2,2692.0,200507
1996,2005-07-01,lagging,120.0,2692.0,200507
1996,2005-07-01,coincident,120.8,2692.0,200507
1996,2005-08-01,coincident,121.1,2715.0,200508
1996,2005-08-01,leading,137.6,2715.0,200508
1996,2005-08-01,lagging,120.0,2715.0,200508
1996,2005-09-01,leading,136.8,2741.0,200509
1996,2005-09-01,lagging,120.3,2741.0,200509
1996,2005-09-01,coincident,120.7,2741.0,200509
1996,2005-10-01,coincident,120.7,2764.0,200510
1996,2005-10-01,lagging,121.2,2764.0,200510
1996,2005-10-01,leading,137.9,2764.0,200510
1996,2005-11-01,lagging,122.0,2786.0,200511
1996,2005-11-01,coincident,121.1,2786.0,200511
1996,2005-11-01,leading,138.8,2786.0,200511
1996,2005-12-01,lagging,122.3,2805.0,200512
1996,2005-12-01,coincident,121.1,2805.0,200512
1996,2005-12-01,leading,138.5,2805.0,200512
1996,2006-01-01,coincident,121.7,2822.0,200601
1996,2006-01-01,leading,140.1,2822.0,200601
1996,2006-01-01,lagging,122.8,2822.0,200601
1996,2006-02-01,leading,139.0,2840.0,200602
1996,2006-02-01,coincident,122.1,2840.0,200602
1996,2006-02-01,lagging,122.6,2840.0,200602
1996,2006-03-01,coincident,122.4,2861.0,200603
1996,2006-03-01,leading,138.4,2861.0,200603
1996,2006-03-01,lagging,122.9,2861.0,200603
1996,2006-04-01,lagging,122.8,2878.0,200604
1996,2006-04-01,leading,138.9,2878.0,200604
1996,2006-04-01,coincident,122.6,2878.0,200604
1996,2006-05-01,leading,137.9,2908.0,200605
1996,2006-05-01,coincident,122.7,2908.0,200605
1996,2006-05-01,lagging,123.0,2908.0,200605
1996,2006-06-01,leading,138.1,2929.0,200606
1996,2006-06-01,lagging,123.7,2929.0,200606
1996,2006-06-01,coincident,122.9,2929.0,200606
1996,2006-07-01,coincident,123.1,2944.0,200607
1996,2006-07-01,lagging,123.7,2944.0,200607
1996,2006-07-01,leading,138.1,2944.0,200607
1996,2006-08-01,lagging,124.2,2965.0,200608
1996,2006-08-01,leading,137.6,2965.0,200608
1996,2006-08-01,coincident,124.5,2965.0,200608
1996,2006-09-01,leading,137.7,2986.0,200609
1996,2006-09-01,lagging,124.3,2986.0,200609
1996,2006-09-01,coincident,123.3,2986.0,200609
1996,2006-10-01,coincident,123.7,3011.0,200610
1996,2006-10-01,lagging,124.1,3011.0,200610
1996,2006-10-01,leading,138.3,3011.0,200610
1996,2006-11-01,leading,138.2,3030.0,200611
1996,2006-11-01,lagging,124.9,3030.0,200611
1996,2006-11-01,coincident,124.0,3030.0,200611
1996,2006-12-01,lagging,127.3,3050.0,200612
1996,2006-12-01,coincident,123.3,3050.0,200612
1996,2006-12-01,leading,138.0,3050.0,200612
1996,2007-01-01,leading,138.5,3069.0,200701
1996,2007-01-01,lagging,127.6,3069.0,200701
1996,2007-01-01,coincident,123.3,3069.0,200701
1996,2007-02-01,lagging,127.9,3092.0,200702
1996,2007-02-01,coincident,123.7,3092.0,200702
1996,2007-02-01,leading,137.3,3092.0,200702
1996,2007-03-01,leading,137.4,3117.0,200703
1996,2007-03-01,coincident,123.7,3117.0,200703
1996,2007-03-01,lagging,127.9,3117.0,200703
1996,2007-04-01,lagging,128.1,3134.0,200704
1996,2007-04-01,coincident,123.8,3134.0,200704
1996,2007-04-01,leading,137.3,3134.0,200704
1996,2007-05-01,coincident,124.0,3153.0,200705
1996,2007-05-01,leading,138.0,3153.0,200705
1996,2007-05-01,lagging,128.6,3153.0,200705
1996,2007-06-01,coincident,124.2,3174.0,200706
1996,2007-06-01,leading,137.5,3174.0,200706
1996,2007-06-01,lagging,129.2,3174.0,200706
1996,2007-07-01,leading,138.1,3193.0,200707
1996,2007-07-01,lagging,128.9,3193.0,200707
1996,2007-07-01,coincident,124.6,3193.0,200707
1996,2007-08-01,coincident,124.6,3214.0,200708
1996,2007-08-01,leading,137.8,3214.0,200708
1996,2007-08-01,lagging,129.4,3214.0,200708
1996,2007-09-01,leading,137.9,3236.0,200709
1996,2007-09-01,lagging,129.9,3236.0,200709
1996,2007-09-01,coincident,125.0,3236.0,200709
1996,2007-10-01,lagging,129.9,3267.0,200710
1996,2007-10-01,coincident,125.1,3267.0,200710
1996,2007-10-01,leading,136.9,3267.0,200710
1996,2007-11-01,coincident,125.1,3291.0,200711
1996,2007-11-01,leading,136.3,3291.0,200711
1996,2007-11-01,lagging,130.2,3291.0,200711
1996,2007-12-01,coincident,125.2,3308.0,200712
1996,2007-12-01,leading,135.9,3308.0,200712
1996,2007-12-01,lagging,130.6,3308.0,200712
1996,2008-01-01,lagging,130.7,3332.0,200801
1996,2008-01-01,coincident,125.2,3332.0,200801
1996,2008-01-01,leading,135.8,3332.0,200801
1996,2008-02-01,leading,135.0,3351.0,200802
1996,2008-02-01,lagging,131.2,3351.0,200802
1996,2008-02-01,coincident,124.9,3351.0,200802
2004,2008-03-01,lagging,111.6,3375.0,200803
2004,2008-03-01,coincident,107.1,3375.0,200803
2004,2008-03-01,leading,102.0,3375.0,200803
2004,2008-04-01,lagging,112.2,3396.0,200804
2004,2008-04-01,leading,102.0,3396.0,200804
2004,2008-04-01,coincident,106.9,3396.0,200804
2004,2008-05-01,lagging,112.4,3417.0,200805
2004,2008-05-01,coincident,106.8,3417.0,200805
2004,2008-05-01,leading,102.1,3417.0,200805
2004,2008-06-01,lagging,111.5,3435.0,200806
2004,2008-06-01,coincident,106.9,3435.0,200806
2004,2008-06-01,leading,101.7,3435.0,200806
2004,2008-07-01,lagging,112.1,3459.0,200807
2004,2008-07-01,coincident,106.8,3459.0,200807
2004,2008-07-01,leading,101.2,3459.0,200807
2004,2008-08-01,leading,100.8,3479.0,200808
2004,2008-08-01,coincident,106.5,3479.0,200808
2004,2008-08-01,lagging,112.6,3479.0,200808
2004,2008-09-01,lagging,112.2,3500.0,200809
2004,2008-09-01,leading,100.6,3500.0,200809
2004,2008-09-01,coincident,106.0,3500.0,200809
2004,2008-10-01,leading,99.6,3521.0,200810
2004,2008-10-01,coincident,105.6,3521.0,200810
2004,2008-10-01,lagging,113.3,3521.0,200810
2004,2008-11-01,coincident,104.9,3543.0,200811
2004,2008-11-01,lagging,113.7,3543.0,200811
2004,2008-11-01,leading,99.0,3543.0,200811
2004,2008-12-01,lagging,113.3,3565.0,200812
2004,2008-12-01,coincident,104.1,3565.0,200812
2004,2008-12-01,leading,99.5,3565.0,200812
2004,2009-01-01,coincident,103.3,3583.0,200901
2004,2009-01-01,lagging,113.9,3583.0,200901
2004,2009-01-01,leading,99.5,3583.0,200901
2004,2009-03-01,lagging,113.3,3629.0,200903
2004,2009-03-01,leading,98.1,3629.0,200903
2004,2009-03-01,coincident,101.5,3629.0,200903
2004,2009-04-01,leading,99.0,3653.0,200904
2004,2009-04-01,coincident,101.1,3653.0,200904
2004,2009-04-01,lagging,112.5,3653.0,200904
2004,2009-05-01,coincident,100.7,3672.0,200905
2004,2009-05-01,lagging,112.0,3672.0,200905
2004,2009-05-01,leading,100.2,3672.0,200905
2004,2009-06-01,leading,100.9,3696.0,200906
2004,2009-06-01,lagging,110.8,3696.0,200906
2004,2009-06-01,coincident,100.3,3696.0,200906
2004,2009-07-01,coincident,99.7,3724.0,200907
2004,2009-07-01,leading,101.6,3724.0,200907
2004,2009-07-01,lagging,110.8,3724.0,200907
2004,2009-08-01,lagging,110.2,3742.0,200908
2004,2009-08-01,coincident,99.8,3742.0,200908
2004,2009-08-01,leading,102.5,3742.0,200908
2004,2009-09-01,leading,103.5,3769.0,200909
2004,2009-09-01,coincident,99.9,3769.0,200909
2004,2009-09-01,lagging,109.6,3769.0,200909
2004,2009-10-01,lagging,108.9,3790.0,200910
2004,2009-10-01,leading,103.8,3790.0,200910
2004,2009-10-01,coincident,99.8,3790.0,200910
2004,2009-11-01,leading,104.9,3812.0,200911
2004,2009-11-01,coincident,100.1,3812.0,200911
2004,2009-11-01,lagging,108.7,3812.0,200911
2004,2009-12-01,leading,106.4,3833.0,200912
2004,2009-12-01,coincident,99.9,3833.0,200912
2004,2009-12-01,lagging,108.5,3833.0,200912
2004,2010-01-01,lagging,108.0,3851.0,201001
2004,2010-01-01,coincident,100.1,3851.0,201001
2004,2010-01-01,leading,107.4,3851.0,201001
2004,2010-02-01,lagging,108.0,3872.0,201002
2004,2010-02-01,leading,107.6,3872.0,201002
2004,2010-02-01,coincident,100.1,3872.0,201002
2004,2010-03-01,coincident,100.2,3895.0,201003
2004,2010-03-01,leading,109.6,3895.0,201003
2004,2010-03-01,lagging,107.9,3895.0,201003
2004,2010-04-01,coincident,100.6,3916.0,201004
2004,2010-04-01,leading,109.3,3916.0,201004
2004,2010-04-01,lagging,108.2,3916.0,201004
2004,2010-05-01,coincident,101.3,3936.0,201005
2004,2010-05-01,lagging,107.8,3936.0,201005
2004,2010-05-01,leading,109.9,3936.0,201005
2004,2010-06-01,coincident,101.4,3967.0,201006
2004,2010-06-01,leading,109.8,3967.0,201006
2004,2010-06-01,lagging,107.6,3967.0,201006
2004,2010-07-01,leading,109.8,3988.0,201007
2004,2010-07-01,coincident,101.4,3988.0,201007
2004,2010-07-01,lagging,107.9,3988.0,201007
2004,2010-08-01,leading,110.2,4013.0,201008
2004,2010-08-01,lagging,108.1,4013.0,201008
2004,2010-08-01,coincident,101.3,4013.0,201008
2004,2010-09-01,coincident,101.4,4041.0,201009
2004,2010-09-01,lagging,108.4,4041.0,201009
2004,2010-09-01,leading,110.4,4041.0,201009
2004,2010-10-01,lagging,108.7,4065.0,201010
2004,2010-10-01,leading,111.3,4065.0,201010
2004,2010-10-01,coincident,101.5,4065.0,201010
2004,2010-11-01,lagging,108.6,4087.0,201011
2004,2010-11-01,coincident,101.7,4087.0,201011
2004,2010-11-01,leading,112.4,4087.0,201011
2004,2010-12-01,lagging,108.4,4107.0,201012
2004,2010-12-01,coincident,101.9,4107.0,201012
2004,2010-12-01,leading,112.4,4107.0,201012
2004,2011-01-01,lagging,107.9,4131.0,201101
2004,2011-01-01,leading,112.3,4131.0,201101
2004,2011-01-01,coincident,102.1,4131.0,201101
2004,2011-02-01,leading,113.4,4149.0,201102
2004,2011-02-01,lagging,108.0,4149.0,201102
2004,2011-02-01,coincident,102.5,4149.0,201102
2004,2011-03-01,coincident,102.9,4172.0,201103
2004,2011-03-01,leading,114.1,4172.0,201103
2004,2011-03-01,lagging,108.3,4172.0,201103
2004,2011-04-01,coincident,102.8,4201.0,201104
2004,2011-04-01,lagging,108.8,4201.0,201104
2004,2011-04-01,leading,114.0,4201.0,201104
2004,2011-05-01,coincident,102.9,4221.0,201105
2004,2011-05-01,leading,114.7,4221.0,201105
2004,2011-05-01,lagging,109.1,4221.0,201105
2004,2011-06-01,leading,115.3,4247.0,201106
2004,2011-06-01,coincident,102.9,4247.0,201106
2004,2011-06-01,lagging,109.5,4247.0,201106
2004,2011-07-01,lagging,110.0,4269.0,201107
2004,2011-07-01,coincident,103.3,4269.0,201107
2004,2011-07-01,leading,115.8,4269.0,201107
2004,2011-08-01,lagging,110.3,4292.0,201108
2004,2011-08-01,coincident,103.3,4292.0,201108
2004,2011-08-01,leading,116.2,4292.0,201108
2004,2011-09-01,lagging,110.4,4316.0,201109
2004,2011-09-01,leading,116.4,4316.0,201109
2004,2011-09-01,coincident,103.3,4316.0,201109
2004,2011-10-01,leading,117.4,4341.0,201110
2004,2011-10-01,lagging,110.9,4341.0,201110
2004,2011-10-01,coincident,103.5,4341.0,201110
2004,2011-11-01,coincident,103.7,4369.0,201111
2004,2011-11-01,leading,118.0,4369.0,201111
2004,2011-11-01,lagging,110.9,4369.0,201111
2004,2011-12-01,lagging,113.4,4390.0,201112
